Part,Amount
683 ZZ Bearing,6
MF83 ZZ Bearing,10
F635 ZZ Bearing,3
Wood screws 1.4 x 4mm,66
Screws M3 x 6mm ISO 7380,23
Screws M3 x 8mm ISO 7380,57
Screws M3 x 25mm ISO 7380,5
Screws M5 x 20mm (?),3
Screws M3 x 35mm,10
Screws M4 x 35mm cone,10
Screws M4 x 10mm,4
M4 screw-in nuts,10
Zip Tie 3mm,2
Wood screws 3.5 x 17mm,13
"Acrylic glass mirror, round, diameter 30cm, thickness 3mm",1
"Acrylic glass diffusor, round, diameter 30cm, thickness 3mm",1
,
Power supply,
LED strip warm white/cold white,~2m
PCB,1
Raspberry Pi Pico WH,1
Standard size servo (40x20mm),1
IRLZ34N MOSFET ,4
Resistor 10kOhm 1206,4
Resistor 100Ohm 1206,4
Pin header 3x1 2.54mm ,1
Socket header 20x1 2.54mm,2
Screw Terminal 3x1 5mm,2
Screw Terminal 2x1 5mm,1
Cables for LED strip (might be included with LED strip),~30cm
 ,
